date,close,diff,open,high,low,volume
2019-01-02,38750,50,39400,39400,38550,7847664
2019-01-03,37600,1150,38300,38550,37450,12471493
2019-01-04,37450,150,37450,37600,36850,14108958
2019-01-07,38750,1300,38000,38900,37800,12748997
2019-01-08,38100,650,38000,39200,37950,12756554
2019-01-09,39600,1500,38650,39600,38300,17452708
2019-01-10,39800,200,40000,40150,39600,14731699
2019-01-11,40500,700,40350,40550,39950,11661063
2019-01-14,40050,450,40450,40700,39850,11984996
2019-01-15,41100,1050,40050,41100,39850,11492756
2019-01-16,41450,350,41150,41450,40700,8491595
2019-01-17,41950,500,41700,42100,41450,11736903
2019-01-18,42300,350,42000,42400,41950,11029256
2019-01-21,42750,450,42700,42750,41900,11355701
2019-01-22,42150,600,42750,42850,41850,9964356
2019-01-23,42000,150,41350,42250,41350,11071079
2019-01-24,43050,1050,43050,43100,42350,14747623
2019-01-25,44750,1700,44300,44750,43750,22789395
2019-01-28,45050,300,45000,45500,44600,17998914
2019-01-29,45500,450,45050,45500,44350,16215017
2019-01-30,46400,900,44800,46400,44800,17505980
2019-01-31,46150,250,46650,47050,46150,21621145
2019-02-01,46350,200,46650,46950,46250,13832454
2019-02-07,46200,150,46800,47100,46200,15872001
2019-02-08,44800,1400,45700,45700,44650,12689196
2019-02-11,45000,200,44500,45000,44250,11125044
2019-02-12,46050,1050,44650,46250,44650,13184367
2019-02-13,46200,150,46400,46700,46000,11299738
2019-02-14,47500,1300,46600,47500,46150,17259341
2019-02-15,46050,1450,46750,46850,45650,10554643
2019-02-18,46200,150,46500,46850,45850,8183728
2019-02-19,45950,250,45850,46150,45450,6741395
2019-02-20,46900,950,46750,47100,46500,11506720
2019-02-21,46950,50,46500,47200,46200,8694009
2019-02-22,47150,200,46500,47150,46450,6895772
2019-02-25,47350,200,47400,47550,47050,7484716
2019-02-26,46750,600,47350,47450,46500,7985547
2019-02-27,46750,0,47000,47250,46750,8045211
2019-02-28,45100,1650,46400,46500,45100,23569321
2019-03-04,44850,250,46000,46100,44800,12926539
2019-03-05,44250,600,44600,45100,44150,10612405
2019-03-06,44000,250,44000,44300,43700,10202544
2019-03-07,44450,450,43400,44950,43400,11049749
2019-03-08,43800,650,44450,44800,43800,7729069
2019-03-11,43650,150,44400,44450,43650,10717408
2019-03-12,44650,1000,44300,44950,44150,11431977
2019-03-13,43850,800,44250,44450,43700,8108343
2019-03-14,43850,0,43700,44300,43550,18039161
2019-03-15,44200,350,43800,44250,43700,16814163
2019-03-18,43700,500,43950,44150,43450,8188876
2019-03-19,43900,200,43750,43900,43550,7609563
2019-03-20,44050,150,43800,44200,43100,9846242
2019-03-21,45850,1800,44600,46250,44050,21138016
2019-03-22,46550,700,46850,47000,46250,12535911
2019-03-25,45500,1050,45300,45650,44800,8699728
2019-03-26,45250,250,45500,45700,44900,9729811
2019-03-27,45350,100,44750,45600,44250,9568081
2019-03-28,44850,500,44950,45200,44300,6821306
